number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16219692,2981325191662,149811847101739918524603074,179765246450053705933358,49753542730360,299470579545,42256392553951116624718,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693207875853529503168,1185215639716509143580
16219693,2981325191662,149811847101739918524603074,179765246450053705933358,49753542730360,299470579545,42256392553951116624718,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693207875853529503168,1185215639716509143580
16219694,2981325191662,149811847101739918524603074,179765246450053705933358,49753542730360,299470579545,42256392553951116624718,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693207875853529503168,1185215639716509143580
16219695,2981325191662,149811847101739918524603074,179765246450053705933358,49753542730360,299470579545,42256392553951116624718,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693207875853529503168,1185215639716509143580
16219696,2981325191662,149811847101739918524603074,179765246450053705933358,49753542730360,299470579545,42256392553951116624718,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693207875853529503168,1185215639716509143580
16219697,2981325191662,149811847101739918524603074,179765246450053705933358,49753542730360,299470579545,42256392553951116624718,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693207875853529503168,1185215639716509143580
16219698,2981254911233,149811864928557279499704575,179765246450053705933358,49722700274689,299470579545,42282454142492783292686,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693929265022487294907,1185079922264680369734
16219699,2981254911233,149811864928557279499704575,179765246450053705933358,49722700274689,299470579545,42282454142492783292686,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693929265022487294907,1185079922264680369734
16219700,2981254911233,149811864928557279499704575,179765246450053705933358,49722700274689,299470579545,42282454142492783292686,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693929265022487294907,1185079922264680369734
16219701,2981254911233,149811864928557279499704575,179765246450053705933358,49722700274689,299470579545,42282454142492783292686,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693929265022487294907,1185079922264680369734
16219702,2981254911233,149811864928557279499704575,179765246450053705933358,49722700274689,299470579545,42282454142492783292686,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693929265022487294907,1185079922264680369734
16219703,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219704,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219705,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219706,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219707,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219708,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219709,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219710,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219711,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219712,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219713,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219714,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219715,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219716,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219717,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219718,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219719,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219720,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219721,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219722,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219723,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219724,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219725,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219726,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219727,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219728,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219729,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219730,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219731,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219732,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219733,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219734,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219735,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219736,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219737,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219738,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219739,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219740,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219741,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219742,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219743,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219744,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219745,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219746,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
